house_index,bedrooms,property_type,property_subtype,locality,postal_code,street,number,box,kitchen,facades,price,furnished,terrace,terraceSurface,fireplace,fireplaceCount,buildingState,garden,gardenSurface,pool,landSurface,livingArea,surfaceOfThePlot,typeOfSale
4016,5,HOUSE,VILLA,Poperinge,8970,Ieperseweg,11,,0,,495000.0,0,0,0.0,0,0,GOOD,0,0,0,1472.0,366.0,1472.0,
2085,2,APARTMENT,APARTMENT,Knokke-Heist,8300,Zeedijk-Albertstrand,501,7C,0,,1250000.0,0,1,,0,0,JUST_RENOVATED,0,0,0,,75.0,,
4771,3,HOUSE,MIXED_USE_BUILDING,Oudenaarde,9700,Dijkstraat,51,,0,2.0,365000.0,0,1,,0,0,JUST_RENOVATED,0,0,0,0.0,,0.0,
10627,1,APARTMENT,APARTMENT,Zeebrugge,8380,Brusselstraat,28,41,1,1.0,240000.0,1,1,2.0,0,0,GOOD,0,0,0,,51.0,,
15440,2,APARTMENT,PENTHOUSE,Waregem,8790,Damweg,7,31,0,,595000.0,0,1,75.0,0,0,,0,0,0,,151.0,,
12067,2,APARTMENT,DUPLEX,Deinze,9800,Leernsesteenweg,150,5,1,,298000.0,0,1,,0,0,GOOD,0,0,0,,106.0,,
3528,1,APARTMENT,APARTMENT,De Haan,8420,Ringlaan-Noord,30,002,0,,139000.0,0,0,0.0,0,0,AS_NEW,0,0,0,,53.0,,
7071,4,HOUSE,HOUSE,Berlaar,2590,Kegelstraat,30,,0,,395000.0,0,0,0.0,0,0,,0,0,0,0.0,,0.0,
11005,3,HOUSE,HOUSE,PUTTE,2580,Mechelbaan,45,,1,,475000.0,0,1,,0,0,GOOD,0,0,0,340.0,186.0,340.0,
16270,1,APARTMENT,APARTMENT,bruxelles,1000,Rue Belliard,168,,0,2.0,340000.0,0,1,,0,0,,0,0,0,,67.0,,UnderOption
17039,4,HOUSE,VILLA,Knokke,8300,Leliedreef,5,,0,4.0,2150000.0,0,1,,0,0,AS_NEW,0,0,0,883.0,256.0,883.0,
